Year,Month,Day,HighTemp,LowTemp
2021,1,1,1.38741,-9.20258
2021,1,2,2.57924,-8.66741
2021,1,3,2.00736,-10.2651
2021,1,4,1.17885,-9.20631
2021,1,5,0.696839,-9.2121
2021,1,6,1.44528,-9.41542
2021,1,7,2.22167,-7.28193
2021,1,8,0.631365,-9.15333
2021,1,9,2.22281,-10.9782
2021,1,10,-1.15638,-9.66335
2021,1,11,2.44715,-7.97861
2021,1,12,-0.00176293,-7.37764
2021,1,13,-1.08024,-9.60024
2021,1,14,-1.24338,-7.60366
2021,1,15,0.518456,-7.0445
2021,1,16,0.900422,-8.28709
2021,1,17,-1.31502,-9.9888
2021,1,18,-1.10067,-10.0081
2021,1,19,1.1389,-8.02139
2021,1,20,0.958671,-7.37635
2021,1,21,1.92008,-10.1228
2021,1,22,1.04594,-7.54805
2021,1,23,0.171753,-9.01917
2021,1,24,-0.955648,-7.13227
2021,1,25,-1.14108,-7.54488
2021,1,26,0.523945,-9.98654
2021,1,27,0.906024,-10.6503
2021,1,28,-1.48483,-10.4618
2021,1,29,0.733314,-7.18531
2021,1,30,0.960014,-9.41591
2021,1,31,1.17826,-8.92303
2021,2,1,3.4972,-4.11823
2021,2,2,3.70541,-4.61751
2021,2,3,4.6347,-4.41023
2021,2,4,2.24208,-5.33488
2021,2,5,4.12467,-5.70867
2021,2,6,1.91072,-5.9834
2021,2,7,1.9437,-6.23035
2021,2,8,6.60867,-5.966
2021,2,9,5.06435,-6.60231
2021,2,10,3.10863,-5.81652
2021,2,11,4.30985,-5.21409
2021,2,12,4.33106,-6.56124
2021,2,13,3.73605,-6.49879
2021,2,14,3.84036,-4.05322
2021,2,15,0.895366,-7.47197
2021,2,16,2.75932,-5.89135
2021,2,17,6.05789,-4.0354
2021,2,18,1.44138,-7.78198
2021,2,19,1.19581,-6.26508
2021,2,20,3.02013,-6.43995
2021,2,21,5.4016,-6.1634
2021,2,22,4.53192,-6.48109
2021,2,23,2.74201,-6.07959
2021,2,24,5.43571,-4.97348
2021,2,25,3.06905,-5.26615
2021,2,26,6.03678,-6.51234
2021,2,27,2.10733,-7.53795
2021,2,28,2.99688,-6.46767
2021,3,1,10.4263,1.69243
2021,3,2,9.47928,-1.54833
2021,3,3,8.96038,1.75976
2021,3,4,11.9957,-1.26652
2021,3,5,9.22273,1.41551
2021,3,6,10.6735,1.08255
2021,3,7,11.2911,-1.35496
2021,3,8,11.621,0.184027
2021,3,9,10.4839,-0.18067
2021,3,10,8.86616,-0.377209
2021,3,11,10.9825,-1.04727
2021,3,12,7.68263,-1.05496
2021,3,13,9.95562,1.06394
2021,3,14,11.1213,-1.94092
2021,3,15,9.5166,-1.88873
2021,3,16,11.7565,1.49687
2021,3,17,12.0597,1.22214
2021,3,18,11.7303,0.24134
2021,3,19,9.13937,-1.58147
2021,3,20,9.49574,0.480117
2021,3,21,11.145,0.154546
2021,3,22,10.3173,-1.85907
2021,3,23,13.4944,1.36528
2021,3,24,8.88096,0.880581
2021,3,25,12.6334,-1.36564
2021,3,26,12.2552,1.52812
2021,3,27,11.8233,0.71511
2021,3,28,10.7112,0.171209
2021,3,29,8.35843,-1.05924
2021,3,30,9.24847,0.434767
2021,3,31,10.1124,-1.8272
2021,4,1,19.4455,6.71572
2021,4,2,21.0683,9.84356
2021,4,3,17.1384,6.86129
2021,4,4,20.6207,7.67119
2021,4,5,18.4002,6.75021
2021,4,6,18.9595,9.95221
2021,4,7,17.7135,7.34178
2021,4,8,19.534,7.65929
2021,4,9,20,6.35932
2021,4,10,17.7829,6.06653
2021,4,11,20.1485,6.3918
2021,4,12,17.0004,6.9266
2021,4,13,18.3497,7.95752
2021,4,14,17.1953,7.51769
2021,4,15,19.7397,8.27595
2021,4,16,20.2547,6.47462
2021,4,17,18.2496,6.92807
2021,4,18,18.0071,7.5302
2021,4,19,18.4724,7.04209
2021,4,20,21.5919,7.50121
2021,4,21,18.6796,7.64464
2021,4,22,17.5764,6.68355
2021,4,23,16.053,6.18964
2021,4,24,16.1023,6.01691
2021,4,25,19.3237,8.01147
2021,4,26,19.6331,8.77615
2021,4,27,16.666,7.9989
2021,4,28,18.2387,8.31098
2021,4,29,21.5978,7.11051
2021,4,30,20.1974,7.21287
2021,5,1,26.6581,15.5911
2021,5,2,24.4783,12.9064
2021,5,3,26.6476,12.2551
2021,5,4,25.4631,15.2981
2021,5,5,24.5108,15.8178
2021,5,6,27.8282,13.2527
2021,5,7,26.1921,13.2566
2021,5,8,23.8773,13.9055
2021,5,9,23.3743,13.2706
2021,5,10,24.7934,12.6026
2021,5,11,24.0522,12.1999
2021,5,12,24.9615,12.5332
2021,5,13,26.06,12.8512
2021,5,14,23.0473,14.5188
2021,5,15,23.9241,12.1216
2021,5,16,22.7364,14.4501
2021,5,17,21.6818,12.0259
2021,5,18,22.9695,13.7235
2021,5,19,25.5042,12.2202
2021,5,20,25.7642,14.7624
2021,5,21,21.0357,12.3878
2021,5,22,26.6244,13.5986
2021,5,23,23.8312,14.5496
2021,5,24,26.3174,12.4277
2021,5,25,21.4704,12.8047
2021,5,26,23.9762,12.0121
2021,5,27,22.0345,14.6104
2021,5,28,25.3823,12.8727
2021,5,29,24.6248,12.306
2021,5,30,26.278,12.9683
2021,5,31,25.781,14.0778
2021,6,1,30.0644,18.7896
2021,6,2,30.2923,18.323
2021,6,3,30.7467,17.7189
2021,6,4,29.246,20.7704
2021,6,5,29.6783,20.6516
2021,6,6,28.7519,17.3886
2021,6,7,29.4142,19.8201
2021,6,8,29.9538,20.3556
2021,6,9,28.5853,20.5248
2021,6,10,28.9441,17.706
2021,6,11,28.9305,20.4418
2021,6,12,26.1292,17.8545
2021,6,13,28.313,18.97
2021,6,14,26.8522,18.751
2021,6,15,28.2701,19.8858
2021,6,16,30.8994,18.597
2021,6,17,28.233,17.1037
2021,6,18,28.6895,17.9013
2021,6,19,28.4471,19.9339
2021,6,20,28.9759,19.5532
2021,6,21,31.0465,19.7706
2021,6,22,30.1401,17.9995
2021,6,23,30.32,20.5807
2021,6,24,29.7402,17.8708
2021,6,25,27.951,17.2499
2021,6,26,31.1843,20.7689
2021,6,27,29.7686,17.7168
2021,6,28,30.0093,17.5386
2021,6,29,29.4732,18.0785
2021,6,30,29.6448,19.8573
2021,7,1,32.2164,21.2283
2021,7,2,29.9408,22.8829
2021,7,3,28.7913,23.2567
2021,7,4,29.6176,22.1003
2021,7,5,30.4714,22.9795
2021,7,6,30.3043,20.9251
2021,7,7,30.6018,23.6114
2021,7,8,31.608,22.9118
2021,7,9,29.6458,23.0901
2021,7,10,28.9567,21.1643
2021,7,11,29.9981,20.7739
2021,7,12,31.0427,21.4028
2021,7,13,30.8218,22.6679
2021,7,14,30.469,22.2381
2021,7,15,30.1728,21.733
2021,7,16,29.1918,20.9798
2021,7,17,31.0668,20.2361
2021,7,18,31.6977,21.5437
2021,7,19,31.0512,23.764
2021,7,20,29.9428,22.8119
2021,7,21,28.3586,22.7995
2021,7,22,29.846,23.8306
2021,7,23,31.0626,23.9487
2021,7,24,29.1966,20.1094
2021,7,25,29.5643,23.0247
2021,7,26,30.9279,23.7062
2021,7,27,29.1482,23.1701
2021,7,28,31.1865,21.8063
2021,7,29,30.9634,23.0942
2021,7,30,28.5837,21.3484
2021,7,31,28.6124,23.8326
2021,8,1,30.846,21.0742
2021,8,2,30.8123,19.2499
2021,8,3,30.4886,21.773
2021,8,4,30.0118,20.4324
2021,8,5,29.3457,20.1126
2021,8,6,30.0645,19.5769
2021,8,7,28.0591,22.5707
2021,8,8,30.3964,20.6339
2021,8,9,29.0126,21.92
2021,8,10,29.5139,22.158
2021,8,11,28.5701,19.9125
2021,8,12,29.9896,21.2882
2021,8,13,28.9707,22.6912
2021,8,14,28.4229,21.5591
2021,8,15,31.0267,22.1148
2021,8,16,27.9955,21.5643
2021,8,17,30.1574,19.8657
2021,8,18,29.6929,22.534
2021,8,19,30.7546,21.9423
2021,8,20,28.3164,20.4814
2021,8,21,28.2374,22.7414
2021,8,22,29.0881,21.8745
2021,8,23,30.138,22.9891
2021,8,24,26.9796,20.6044
2021,8,25,28.4409,19.9528
2021,8,26,26.7073,20.0444
2021,8,27,30.1591,20.0748
2021,8,28,27.9891,19.1354
2021,8,29,27.9633,19.8633
2021,8,30,31.0376,20.9861
2021,8,31,30.2987,19.6538
2021,9,1,25.5025,14.4966
2021,9,2,24.3598,14.9655
2021,9,3,22.1941,14.6055
2021,9,4,24.4589,14.9
2021,9,5,22.4452,14.9041
2021,9,6,24.7015,14.7712
2021,9,7,25.7555,13.522
2021,9,8,24.7934,14.3814
2021,9,9,21.645,13.657
2021,9,10,23.5146,16.2984
2021,9,11,23.6147,13.4602
2021,9,12,25.9977,14.1512
2021,9,13,25.4853,15.6351
2021,9,14,26.6021,16.2353
2021,9,15,25.2492,15.5365
2021,9,16,26.3996,15.5743
2021,9,17,24.9777,16.5283
2021,9,18,23.988,15.0083
2021,9,19,22.8894,15.3634
2021,9,20,23.7434,14.5599
2021,9,21,25.1581,15.3154
2021,9,22,24.6398,14.892
2021,9,23,26.4384,16.328
2021,9,24,24.5721,13.616
2021,9,25,27.0485,16.4615
2021,9,26,25.1618,16.8464
2021,9,27,25.5049,16.5584
2021,9,28,23.7465,13.86
2021,9,29,24.6576,13.6582
2021,9,30,24.7663,13.1154
2021,10,1,17.802,6.26301
2021,10,2,18.2612,7.96985
2021,10,3,18.513,9.55058
2021,10,4,18.0808,8.46138
2021,10,5,15.2577,7.10538
2021,10,6,17.7544,8.35005
2021,10,7,15.532,8.6061
2021,10,8,19.2614,7.50066
2021,10,9,18.6693,9.48692
2021,10,10,16.9176,9.99164
2021,10,11,18.3814,7.5573
2021,10,12,18.1982,6.45387
2021,10,13,17.443,7.53362
2021,10,14,16.5312,9.3267
2021,10,15,17.0432,9.50255
2021,10,16,16.1657,9.43803
2021,10,17,16.1575,7.30375
2021,10,18,16.1817,9.47826
2021,10,19,19.5307,6.29334
2021,10,20,19.7021,9.14493
2021,10,21,17.8983,9.65361
2021,10,22,18.7017,9.21763
2021,10,23,16.8363,8.08271
2021,10,24,20.18,9.58818
2021,10,25,15.207,6.36286
2021,10,26,19.442,9.38395
2021,10,27,16.8615,9.30979
2021,10,28,20.0313,9.70415
2021,10,29,16.2249,6.27619
2021,10,30,19.0583,7.58513
2021,10,31,18.1413,6.64119
2021,11,1,8.50536,1.00125
2021,11,2,8.21003,-1.64989
2021,11,3,7.58032,-0.328501
2021,11,4,9.35272,-1.34227
2021,11,5,9.09712,-1.62413
2021,11,6,10.0183,-0.474441
2021,11,7,7.32551,0.66921
2021,11,8,10.5072,0.0301523
2021,11,9,8.42939,-1.72839
2021,11,10,9.20603,-1.01199
2021,11,11,8.85196,-1.91546
2021,11,12,8.13258,1.90033
2021,11,13,8.96831,0.0837428
2021,11,14,10.0402,-1.02115
2021,11,15,8.00559,1.22904
2021,11,16,10.491,1.08646
2021,11,17,7.86481,0.276803
2021,11,18,10.4857,-1.42912
2021,11,19,9.40806,0.819178
2021,11,20,7.77751,0.981842
2021,11,21,8.31933,0.515213
2021,11,22,7.63392,0.0435804
2021,11,23,6.99827,0.706076
2021,11,24,8.68385,-0.163274
2021,11,25,9.14396,1.75079
2021,11,26,11.2289,0.145878
2021,11,27,9.25619,-0.793054
2021,11,28,7.14875,0.982391
2021,11,29,5.55633,-1.84118
2021,11,30,10.3492,-1.71398
2021,12,1,-1.36104,-6.81509
2021,12,2,1.36467,-5.43919
2021,12,3,0.78008,-5.42265
2021,12,4,2.28031,-4.06311
2021,12,5,1.64441,-5.11002
2021,12,6,2.96188,-6.4908
2021,12,7,2.09505,-7.29936
2021,12,8,2.02767,-4.16974
2021,12,9,3.43007,-5.97772
2021,12,10,0.812105,-5.70025
2021,12,11,0.141366,-7.28062
2021,12,12,-0.174429,-5.69048
2021,12,13,1.71853,-7.96136
2021,12,14,2.58976,-5.78021
2021,12,15,-0.13324,-4.94559
2021,12,16,3.03946,-5.45518
2021,12,17,0.485025,-6.67885
2021,12,18,3.40158,-6.42195
2021,12,19,1.19476,-5.95392
2021,12,20,0.616133,-6.28291
2021,12,21,2.9579,-4.05719
2021,12,22,3.92666,-7.72979
2021,12,23,1.61282,-7.91278
2021,12,24,2.12703,-6.06482
2021,12,25,3.15836,-4.73318
2021,12,26,0.0478459,-4.27418
2021,12,27,3.1107,-7.16361
2021,12,28,2.04841,-7.37602
2021,12,29,3.68335,-4.40016
2021,12,30,-0.0756976,-5.96545
2021,12,31,1.28277,-4.42036
2022,1,1,-2.44844,-7.91147
2022,1,2,0.879208,-9.06238
2022,1,3,-0.416852,-10.5231
2022,1,4,-0.956648,-10.2612
2022,1,5,2.01317,-8.48906
2022,1,6,1.44302,-7.83004
2022,1,7,1.57307,-10.1826
2022,1,8,0.291562,-9.52608
2022,1,9,0.545765,-8.97186
2022,1,10,1.23614,-10.2561
2022,1,11,1.47832,-7.97623
2022,1,12,-0.0454242,-7.58791
2022,1,13,0.507861,-7.0163
2022,1,14,2.74649,-10.3742
2022,1,15,-0.144706,-9.32466
2022,1,16,-0.770335,-8.21513
2022,1,17,0.832236,-10.9238
2022,1,18,-0.174984,-7.37031
2022,1,19,-1.45657,-7.91806
2022,1,20,-1.16281,-7.73769
2022,1,21,0.460153,-10.832
2022,1,22,0.807647,-7.95602
2022,1,23,1.53317,-8.48064
2022,1,24,-1.62244,-10.3305
2022,1,25,0.902891,-7.16456
2022,1,26,-0.29499,-9.15522
2022,1,27,-0.766231,-10.105
2022,1,28,-0.716516,-8.43291
2022,1,29,-1.88112,-9.94333
2022,1,30,2.22017,-10.7719
2022,1,31,-1.05717,-10.7537
2022,2,1,3.49153,-6.4781
2022,2,2,1.92757,-6.01636
2022,2,3,4.35412,-7.77612
2022,2,4,2.75614,-7.34922
2022,2,5,0.780776,-7.93292
2022,2,6,2.27905,-7.21934
2022,2,7,4.4027,-6.49831
2022,2,8,4.09872,-6.54225
2022,2,9,4.83623,-4.13556
2022,2,10,3.80505,-5.17325
2022,2,11,3.23725,-4.70016
2022,2,12,4.43672,-5.25834
2022,2,13,3.46637,-6.16016
2022,2,14,2.63352,-7.24406
2022,2,15,1.24705,-7.72173
2022,2,16,2.18599,-7.92871
2022,2,17,3.47359,-4.68612
2022,2,18,4.51792,-5.33006
2022,2,19,5.44551,-6.18445
2022,2,20,6.87684,-7.65276
2022,2,21,5.53195,-5.65014
2022,2,22,6.49945,-6.70736
2022,2,23,5.36014,-5.64983
2022,2,24,2.99355,-7.44316
2022,2,25,2.26788,-7.13376
2022,2,26,4.04417,-5.05454
2022,2,27,2.19977,-7.01621
2022,2,28,5.15481,-4.74075
2022,3,1,11.6556,-1.14451
2022,3,2,12.6657,-1.33384
2022,3,3,9.06327,-0.37434
2022,3,4,11.4395,1.64537
2022,3,5,12.012,1.72076
2022,3,6,11.6275,0.807398
2022,3,7,9.26544,-0.67629
2022,3,8,11.7467,-1.76171
2022,3,9,10.1898,-1.42454
2022,3,10,9.18937,-1.77953
2022,3,11,11.9582,1.48906
2022,3,12,11.3948,-1.82238
2022,3,13,9.59744,0.439955
2022,3,14,10.3917,1.79595
2022,3,15,7.84549,1.52599
2022,3,16,12.1172,-0.858608
2022,3,17,8.92286,-1.5399
2022,3,18,11.9107,-0.49794
2022,3,19,10.4361,-1.63494
2022,3,20,10.2061,1.3947
2022,3,21,12.2003,0.603961
2022,3,22,10.259,1.408
2022,3,23,11.2852,-0.33314
2022,3,24,9.9284,-1.82971
2022,3,25,9.7368,0.378918
2022,3,26,9.8299,1.24888
2022,3,27,10.8964,0.673238
2022,3,28,12.1433,-1.14103
2022,3,29,11.4925,1.55333
2022,3,30,11.1564,0.16657
2022,3,31,11.77,0.478286
2022,4,1,14.9371,8.16803
2022,4,2,16.2365,9.02799
2022,4,3,17.3914,6.00055
2022,4,4,15.6779,8.72475
2022,4,5,16.2593,6.75246
2022,4,6,18.2107,8.11261
2022,4,7,17.7682,8.29859
2022,4,8,18.2903,6.35078
2022,4,9,19.0834,8.64144
2022,4,10,21.2636,7.06882
2022,4,11,20.2435,8.36628
2022,4,12,17.1834,8.13276
2022,4,13,18.7549,9.8432
2022,4,14,18.2678,7.65728
2022,4,15,17.4583,9.65752
2022,4,16,18.909,8.0412
2022,4,17,18.5484,9.98431
2022,4,18,17.2184,8.51863
2022,4,19,20.7975,9.2996
2022,4,20,20.6635,7.2711
2022,4,21,17.6017,9.25797
2022,4,22,17.4318,8.92099
2022,4,23,16.5106,7.8449
2022,4,24,17.2797,7.6242
2022,4,25,18.5785,9.72484
2022,4,26,16.3349,6.53658
2022,4,27,21.2765,8.97885
2022,4,28,21.5941,7.32408
2022,4,29,16.8738,8.19983
2022,4,30,20.6911,6.10034
2022,5,1,23.0271,15.8671
2022,5,2,25.5596,14.1895
2022,5,3,23.1959,12.2324
2022,5,4,22.371,12.1308
2022,5,5,23.7856,14.2135
2022,5,6,23.9129,14.3179
2022,5,7,24.1013,14.2672
2022,5,8,20.1206,12.0097
2022,5,9,26.8014,12.671
2022,5,10,24.6832,15.9453
2022,5,11,27.8169,15.8318
2022,5,12,24.4658,13.197
2022,5,13,23.0721,14.6399
2022,5,14,25.1668,14.7893
2022,5,15,24.763,14.787
2022,5,16,25.2428,14.523
2022,5,17,25.7787,12.9827
2022,5,18,23.8892,14.1475
2022,5,19,23.4735,14.0029
2022,5,20,22.2797,13.6493
2022,5,21,26.0604,13.7232
2022,5,22,23.4781,12.1291
2022,5,23,24.0429,13.096
2022,5,24,25.6574,13.6171
2022,5,25,23.2556,12.8206
2022,5,26,24.4688,12.6467
2022,5,27,23.2392,14.081
2022,5,28,25.5825,15.5022
2022,5,29,25.9399,12.264
2022,5,30,24.7732,13.1785
2022,5,31,25.7636,15.7072
2022,6,1,29.9963,19.6594
2022,6,2,28.1026,17.0506
2022,6,3,26.9001,20.2411
2022,6,4,26.9566,19.8816
2022,6,5,27.9492,17.831
2022,6,6,29.3016,19.3823
2022,6,7,29.3486,20.4571
2022,6,8,27.7917,20.5739
2022,6,9,30.8728,19.5396
2022,6,10,29.3511,19.2191
2022,6,11,29.0215,17.5271
2022,6,12,30.4645,20.9127
2022,6,13,26.0027,17.1789
2022,6,14,27.7584,20.8861
2022,6,15,28.555,19.1906
2022,6,16,28.9371,17.7943
2022,6,17,31.0711,18.967
2022,6,18,28.3522,18.5524
2022,6,19,28.2565,18.3742
2022,6,20,28.3452,20.0832
2022,6,21,29.5593,19.6865
2022,6,22,28.3081,18.7518
2022,6,23,27.5232,18.3085
2022,6,24,28.1855,18.0746
2022,6,25,29.291,20.7662
2022,6,26,28.274,18.0865
2022,6,27,28.8095,17.8684
2022,6,28,29.8415,19.6209
2022,6,29,28.832,19.3614
2022,6,30,28.6125,17.4923
2022,7,1,29.0901,21.3645
2022,7,2,30.8449,21.0266
